placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P131KJT;24/09/2025;NO;NO;NO;NO;NO;NO;C/2 CRUCES TRANSMISION, C/2 TORNILLOS ESTABILIZADORES
P574JHX;24/09/2025;SI;SI;SI;NO;184,970;189,970;C/F CABINA, C/BUFAS TRASERAS
P125GFY;24/09/2025;SI;SI;NO;NO;197,849;200,849;C/A CAJA PROX C/207,849,. C/F CABINA
P685KXP;25/09/2025;NO;NO;NO;NO;NO;NO;REPARACION PERDIDA DE POTENCIA
P598JJD;25/09/2025;SI;SI;NO;NO;141,365;144,365;C/F CABINA
P601LFN;25/09/2025;SI;NO;NO;NO;137,852;140,852;C/A CAJA PROCX/C 147,852,. C/F CABINA
P162KGT;25/09/2025;SI;NO;NO;SI;61,395;64,395;C/DISCOS TRASER Y PASTILLAS TRASER, C/FRICCIONES TRASERAS, DESMONT Y MONTAJE MORDAZA TRASER IZQ
P737GRC;25/09/2025;NO;NO;NO;NO;NO;NO;C/TENSOR DE FAJA
P810KRH;25/09/2025;NO;NO;NO;NO;NO;NO;MANTENIMIENTO CALLIPER, CALIBRACION ANGULO DE GIRO CON SCANER
P110FBL;25/09/2025;NO;NO;NO;NO;NO;NO;C/POLEA CIGÜEÑAL
P739JJY;26/09/2025;SI;NO;NO;NO;146,759;149,759;
P245LFV;26/09/2025;SI;SI;NO;NO;152,612;155,612;C/A CAJA PROX/C 162,612., C/F CABINA, LAV MOTOR
P132KYW;26/09/2025;SI;NO;NO;SI;19,852;24,852;C/F CABINA, SCANER
P407JDR;26/09/2025;SI;SI;NO;NO;220,586;225,586;C/F CABINA
P173JGH;26/09/2025;SI;SI;NO;NO;82,159;87,159;C/F CABINA
P059KKW;27/09/2025;SI;SI;NO;NO;224,348;229,348;C/F CABINA
P274HXB;27/09/2025;SI;NO;NO;NO;111,315;114,315;
P229KYH;27/09/2025;SI;SI;NO;SI;101,558;106,558;
P621KZS;27/09/2025;SI;SI;NO;NO;291,550;294,550;C/REFRIGERANTE, C/F CABINA
P140DTV;29/09/2025;SI;SI;NO;NO;118,374;1,221,374;
P486JGB;29/09/2025;SI;SI;SI;NO;108,439;113,439;C/F CABINA, LAV DE MOTOR
P077JPX;29/09/2025;SI;SI;NO;SI;78,450;83,450;C/F CABINA
P392KLX;29/09/2025;SI;SI;NO;NO;127,011;130,011;C/F CABINA
P780KLW;29/09/2025;SI;SI;NO;NO;189,411;192,411;C/F CABINA, LAVADO DE MOTOR
P493DHL;29/09/2025;SI;SI;NO;NO;300,680;305,680;
P974KLC;29/09/2025;NO;NO;NO;NO;NO;NO;C/ 2 AMORTIGUADORES TRASEROS
P020HXR;29/09/2025;SI;SI;NO;NO;182,406;185,406;C/F CABINA
P062KSX;29/09/2025;NO;NO;NO;NO;NO;NO;MECANICA VARIA ORDEN NO. 13346
P854KBL;30/09/2025;SI;SI;NO;NO;130,703;135,703;C/F CABINA
P706DLP;30/09/2025;SI;NO;NO;SI;305,000;310,000;
P878JNL;30/09/2025;SI;SI;NO;NO;131,657;134,657;LAVADO DE MOTOR
P027CLX;30/09/2025;SI;NO;NO;NO;201,797;206,797;
P352KLL;30/09/2025;SI;SI;NO;SI;62,644;67,644;C/F CABINA, C/PASTILLAS DELANTERAS
P641JJD;30/09/2025;NO;NO;NO;NO;NO;NO;CAMBIO DE ROTULAS
P988KGH;1/10/2025;SI;NO;NO;NO;104,034;106,034;
P266GKF;1/10/2025;NO;NO;NO;NO;NO;NO;MANT FRENOS TRASER Y DELANT, C/TORNILLOS ESTABILIZADORES
P683JGD;1/10/2025;SI;SI;SI;SI;73,493;48,493;C/F CABINA
P418LJG;1/10/2025;SI;SI;NO;SI;107,155;110,155;C/F CABINA
P666JCX;1/10/2025;NO;NO;NO;NO;NO;NO;DESMONTAJE Y MONTAJE MOTOR DE ARRANQUE
P002HXY;1/10/2025;SI;NO;SI;SI;90;95,066;
P435JGZ;1/10/2025;SI;SI;NO;NO;107,024;110,024;C/F CABINA
P521LCB;1/10/2025;SI;SI;NO;NO;131,126;134,126;C/F CABINA, LAVADO DE MOTOR
P760FLH;1/10/2025;SI;SI;SI;SI;142,710;147,710;C/F CABINA, C/A CAJA, C/A TRANSFER, C/A CATARINAS, MEC VARIA ORDEN NO 13380
P976KTF;1/10/2025;NO;NO;NO;NO;NO;NO;CAMBIO DE CANDELAS
P683JGD;2/10/2025;NO;NO;NO;NO;NO;NO;RECTIF 2 TAMBORES TRASEROS, FRENOS TRASEROS
P510GHH;2/10/2025;SI;SI;SI;SI;119,940;124,940;C/F CABINA, REPARAC CARTER DE MOTOR, LAV MOTOR, FLUSHING
P339KJB;2/10/2025;SU;NO;NO;NO;36,118;41,000;LAVADO DE MOTOR
P455JWF;2/10/2025;NO;NO;NO;NO;NO;NO;CAMBIO DE TERMOSTATO
P148GTM;2/10/2025;SI;NO;NO;SI;186,769;189,769;
