placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P094CVR;5/08/2015;SI;NO;NO;NO;178999;180999;
P157FQS;6/08/2015;SI;SI;SI;SI;14000;18000;
P331BBK;6/08/2015;SI;SI;NO;NO;140727;142727;
P361DVT;6/08/2015;SI;SI;NO;NO;99610;101610;
P688FKV;6/08/2015;SI;NO;NO;SI;13110;16110;
P058FXX;6/08/2015;SI;NO;NO;NO;65363;67363;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P871FKJ;6/08/2015;SI;SI;NO;NO;238765;240765;
P225BKG;7/08/2015;SI;SI;NO;SI;229778;232778;
P794FCS;7/08/2015;SI;NO;NO;SI;129707;132707;SE HIZO FLUSHING
P872FWT;8/08/2015;SI;NO;NO;NO;75986;77986;
P442FRY;8/08/2015;SI;NO;NO;NO;84430;86430;
P890FWT;8/08/2015;NO;NO;NO;NO;203944;;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P637CVB;8/08/2015;SI;NO;SI;SI;214470;217470;SE HIZO FLUSHING
P950FHF;8/08/2015;SI;SI;SI;SI;99963;102963;SE CAMBIO FILTRO DE AIRE ACONDICIONADO
P111CXD;8/08/2015;SI;SI;NO;NO;180784;182784;
P029FCN;17/01/2015;SI;NO;NO;SI;124494;126494;SE CAMBIO ACEITE DE CATARINA
P029FCN;12/08/2015;SI;NO;NO;NO;126669;128669;SE CAMBIO ACEITE DE CATARINA.
P882FRW;12/08/2015;SI;NO;NO;SI;208198;210198;SE HIZO CAMBIO DE CANDELAS
P818DGH;13/08/2015;SI;NO;NO;NO;62688;64688;
C383BMM;14/08/2015;SI;NO;SI;NO;176942;181942;
P918FTR;14/08/2015;NO;NO;NO;NO;88709;90709;
P773FKZ;14/08/2015;SI;SI;NO;NO;88771;90771;SE HIZO LAVADO DE MOTOR.
P047FFT;14/08/2015;SI;NO;NO;NO;78033;80033;
P227FRX;15/08/2015;SI;NO;NO;SI;372000;374000;
P228DMV;15/08/2015;SI;NO;NO;NO;158491;161491;
P510FWD;15/08/2015;SI;NO;NO;NO;92886;94886;
P191FGS;15/08/2015;NO;NO;NO;NO;182005;;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P230CMP;18/08/2015;SI;SI;NO;NO;224767;227767;
P097DXP;18/08/2015;SI;NO;NO;NO;79084;82084;
P249FRX;18/08/2015;SI;NO;NO;NO;38196;40196;
P444FFK;18/08/2015;SI;NO;NO;SI;178320;180320;
P962FTC;18/08/2015;SI;SI;NO;NO;60500;62500;SE HIZO CAMBIO DE PLUMILLAS
