codigo;nombre;costo;stock;stock_minimo;descripcion;type_insumo_id;precio;;;;;
0207;FILTRO ACEITE 57302;57;2;1;;2;95;;;;;
0208;FILTRO ACEITE FF-OE 650/8;78;24;1;;2;130;;;;;
0209;FILTRO ACEITE CH 10855;48;3;1;;2;80;;;;;
0210;FILTRO ACEITE ISUZU 8-973299110;129;3;1;;2;215;;;;;
0211;FILTRO DIESEL 5-876100110;60;7;1;;4;100;;;;;
0212;FILTRO ACEITE OE 0672;45;8;1;;2;75;;;;;
0213;FILTRO GASOLINA 23300-35030 / 23300-39035;36;3;1;;4;60;;;;;
0214;FILTRO GASOLINA 23300-65010;36;3;1;;4;60;;;;;
0215;FILTRO GASOLINA 23300-31100;42;4;1;;4;70;;;;;
0216;FILTRO GASOLINA OK08A-20-490A;36;5;1;;4;60;;;;;
0217;FILTRO ACEITE LFP 5969;120;3;1;;2;200;;;;;
0218;FILTRO ACEITE 5266016;78;8;1;;2;130;;;;;
0219;FILTRO ACEITE OE 662/1;51;6;1;;2;85;;;;;
0220;FILTRO ACEITE OE 671/4;45;5;1;;2;75;;;;;
0221;FILTRO ACEITE OE 671/3;51;3;1;;2;85;;;;;
0222;FILTRO AIRE 17801-OS010 / PAB 10343;60;8;1;;3;100;;;;;
0223;FILTRO AIRE 17801-11080 / CA 7167;36;7;1;;3;60;;;;;
0224;FILTRO AIRE 17801-OC040 / PAB 10163;48;6;1;;3;80;;;;;
0225;FILTRO AIRE 17801-07010 / PAB 8636 / CA 8918;45;5;1;;3;75;;;;;
0226;FILTRO AIRE CA 10169 / 17801-AD010;39;4;1;;3;65;;;;;
0227;FILTRO AIRE CA 10677;45;3;1;;3;75;;;;;
0228;FILTRO AIRE 17801-70020/ PAB 4939;36;2;1;;3;60;;;;;
0229;FILTRO AIRE 17801-70010 / CA 4830;36;1;1;;3;60;;;;;
0230;FILTRO AIRE 17801-21050;36;2;1;;3;60;;;;;
0231;FILTRO AIRE 17801-22020;36;3;1;;3;60;;;;;
0232;FILTRO AIRE 17801-OY040 / PABS 566;42;4;1;;3;70;;;;;
0233;FILTRO AIRE 17801-28010;42;5;1;;3;70;;;;;
0234;FILTRO AIRE 17801-21030;36;6;1;;3;60;;;;;
0235;FILTRO AIRE 17801-70050;36;7;1;;3;60;;;;;
0236;FILTRO AIRE 17801-31090/ CA 9683;48;8;1;;3;80;;;;;
0237;FILTRO AIRE 17801-15070;36;9;1;;3;60;;;;;
0238;FILTRO AIRE 17801-35020;36;10;1;;3;60;;;;;
0239;FILTRO AIRE 17801-46060;42;11;1;;3;70;;;;;
0240;FILTRO AIRE 17801-16030/ CA 6395;36;23;1;;3;60;;;;;
0241;FILTRO AIRE 17801-OC010;57;4;1;;3;95;;;;;
0242;FILTRO AIRE 17801-38051 / 17801-OL040;57;2;1;;3;95;;;;;
0243;FILTRO AIRE 17801-30050;51;6;1;;3;85;;;;;
0244;FILTRO AIRE 17801-54100;42;7;1;;3;70;;;;;
0245;FILTRO AIRE 17801-30070;45;8;1;;3;75;;;;;
0246;FILTRO AIRE 14801-41050 / CA 2719;36;5;1;;3;60;;;;;
0247;FILTRO AIRE 17801-54180;5;4;1;;3;8;;;;;
0248;FILTRO AIRE 17801-61030;51;6;1;;3;85;;;;;
0249;FILTRO AIRE 17801-67060/ PABS 070;60;8;1;;3;100;;;;;
0250;FILTRO AIRE 17801-54170;48;9;1;;3;80;;;;;
0251;FILTRO AIRE 17801-31160;54;6;1;;3;90;;;;;
0252;FILTRO AIRE CA 4309 / 16546-V0100;36;6;1;;3;60;;;;;
0253;FILTRO AIRE PAB 6850 / 16546-86G00;45;4;1;;3;75;;;;;
0254;FILTRO AIRE 16546-2S600;39;3;1;;3;65;;;;;
0255 ;FILTRO AIRE 16546-9S001 / PABS 146;48;2;1;;3;80;;;;;
0256;FILTRO AIRE 16546-EB70A / PABS 200 / CA 12004;51;4;1;;3;85;;;;;
0257;FILTRO AIRE CA 10234 / PAB 10234 / 16546-ED000;42;6;1;;3;70;;;;;
0258;FILTRO AIRE CA 10696/ PABS 2253;72;7;1;;3;120;;;;;
0259;FILTRO AIRE CA 8922 / RFZA-13Z40;36;8;1;;3;60;;;;;
0260;FILTRO AIRE PAB 9669/ AJ57-13Z40;45;5;1;;3;75;;;;;
0261;FILTRO AIRE LF50-13Z40;42;5;1;;3;70;;;;;
0262;FILTRO AIRE CA 11259;45;5;1;;3;75;;;;;
0263;FILTRO AIRE ZJ01-13Z40;39;5;1;;3;65;;;;;
0264;FILTRO AIRE B595-13Z40;36;3;1;;3;60;;;;;
0265;FILTRO AIRE WL81-13Z40;42;5;1;;3;70;;;;;
0266;FILTRO AIRE WL31-13Z40;45;5;1;;3;75;;;;;
0267;FILTRO AIRE PAB 2262 / PABS 2254;75;5;1;;3;125;;;;;
0268;FILTRO AIRE F511-13Z40/ CA 7426;39;6;1;;3;65;;;;;
0269;FILTRO AIRE CA 7142 / MD 620472;36;5;1;;3;60;;;;;
0270;FILTRO AIRE ME 17242;51;5;1;;3;85;;;;;
0271;FILTRO AIRE MR 404847/ PAB 9367;51;4;1;;3;85;;;;;
0272;FILTRO AIRE MD 620737/ CA 7630;36;4;1;;3;60;;;;;
0273;FILTRO AIRE MR 188657 / CA 8208;39;4;1;;3;65;;;;;
0274;FILTRO AIRE CA 10497;48;7;1;;3;80;;;;;
0275;FILTRO AIRE MR 968274 / CA 10910;48;3;1;;3;80;;;;;
0276;FILTRO AIRE 28113-IY100;36;3;1;;3;60;;;;;
0277;FILTRO AIRE 17801-31130 / 1500A608 / CA 10755 / 49430;60;9;1;;3;100;;;;;
0278;FILTRO AIRE 17801-54080 / MD 620563;48;8;1;;3;80;;;;;
0279;FILTRO AIRE 8-97251944-0 / PABS 168 / 1500A098;42;10;1;;3;70;;;;;
0280;FILTRO AIRE MD 603446;45;9;1;;3;75;;;;;
0281;FILTRO AIRE OK6B-23603 / PABS 107;54;8;1;;3;90;;;;;
0282;FILTRO AIRE 28113-4A001 / PABS 039;51;11;1;;3;85;;;;;
0283;FILTRO AIRE 17801-0W010 / CA 7417;36;3;1;;3;60;;;;;
0284;FILTRO AIRE PABS 076 / 8-97941655-0;48;4;1;;3;80;;;;;
0285;FILTRO AIRE ISUZU 8-98140266-0;201;5;1;;3;335;;;;;
0286;FILTRO AIRE PABS 2252;75;5;1;;3;125;;;;;
0287;FILTRO AIRE 28113-3E000 / CA 9525;39;4;1;;3;65;;;;;
0288;FILTRO AIRE 28113-2P300;48;3;1;;3;80;;;;;
0289;FILTRO AIRE PAB 5070;108;3;1;;3;180;;;;;
0290;FILTRO AIRE 10233;180;3;1;;3;300;;;;;
0291;FILTRO AIRE 46506;201;4;1;;3;335;;;;;
0292;FILTRO AIRE PABS 2203;42;4;1;;3;70;;;;;
0293;FILTRO AIRE PABS 023;42;5;1;;3;70;;;;;
0294;FILTRO AIRE  81032129-K;39;6;1;;3;65;;;;;
0295;FILTRO AIRE PAB 11206 / 28113-IR100;51;6;1;;3;85;;;;;
0296;FILTRO AIRE PAB 10699;42;7;1;;3;70;;;;;
0297;FILTRO AIRE PABS 2269 / 16546-4JMIA;51;7;1;;3;85;;;;;
0298;FILTRO AIRE CA 6900;42;3;1;;3;70;;;;;
0299;FILTRO AIRE PAB 10346;51;2;1;;3;85;;;;;
0300;FILTRO AIRE PAB 10543;51;2;1;;3;85;;;;;
0301;FILTRO AIRE 13780-5B000 / CA 7617;33;2;1;;3;55;;;;;
0302;FILTRO AIRE CA 8817;36;1;1;;3;60;;;;;
0303;FILTRO AIRE CA 9441/ 28113-26000;39;2;1;;3;65;;;;;
0304;FILTRO AIRE 28113-2B000 / PAB 10539;48;3;1;;3;80;;;;;
0305;FILTRO AIRE CA 9902;36;3;1;;3;60;;;;;
0306;FILTRO AIRE 28113-4F001;51;4;1;;3;85;;;;;
0307;FILTRO AIRE CA 8121;39;6;1;;3;65;;;;;
0308;FILTRO CA 8121B / CA 10086;39;5;1;;3;65;;;;;
0309;FILTRO AIRE CA 10088 / 28113-IG000;39;5;1;;3;65;;;;;
0310;FILTRO AIRE CA 8243;36;5;1;;3;60;;;;;
0311;FILTRO AIRE PAB 8039;45;5;1;;3;75;;;;;
0312;FILTRO AIRE CA 9392 / 28113-2D000;36;7;1;;3;60;;;;;
0313;FILTRO AIRE CA 7764;39;6;1;;3;65;;;;;
0314;FILTRO AIRE CA 7421;36;6;1;;3;60;;;;;
0315;FILTRO AIRE CA 3901;36;7;1;;3;60;;;;;
0316;FILTRO AIRE CA 3998 / LA 2065;36;8;1;;3;60;;;;;
0317;FILTRO AIRE 28113-H1915;39;8;1;;3;65;;;;;
0318;FILTRO AIRE 13780-77E00 / PAB 8069;36;8;1;;3;60;;;;;
0319;FILTRO AIRE 28113-2S000 / CA 10889;42;6;1;;3;70;;;;;
0320;FILTRO AIRE CA 10881 / 28113-35100;39;4;1;;3;65;;;;;
0321;FILTRO AIRE PAB 8970;39;5;1;;3;65;;;;;
0322;FILTRO AIRE CA 7440;42;5;1;;3;70;;;;;
0323;FILTRO AIRE CA 6558;36;5;1;;3;60;;;;;
0324;FILTRO AIRE CA 9493;42;3;1;;3;70;;;;;
0325 ;FILTRO AIRE PAB 10344;48;3;1;;3;80;;;;;
0326;FILTRO AIRE PAB 10165;39;3;1;;3;65;;;;;
0327;FILTRO AIRE CA 10885;51;3;1;;3;85;;;;;
0328;FILTRO AIRE PAB 6377;39;3;1;;3;65;;;;;
0329;FILTRO AIRE PAB 10233;36;5;1;;3;60;;;;;
0330;FILTRO CA 11258;54;5;1;;3;90;;;;;
0331;FILTRO AIRE CA 11113;48;6;1;;3;80;;;;;
0332;FILTRO AIRE CA 11945;45;3;1;;3;75;;;;;
0333;FILTRO AIRE 13780-54L000;45;4;1;;3;75;;;;;
0334;FILTRO AIRE PAB 8040;39;7;1;;3;65;;;;;
0335;FILTRO AIRE PAB 8133;42;8;1;;3;70;;;;;
0336;FILTRO AIRE CA 10650;42;8;1;;3;70;;;;;
0337;FILTRO AIRE 13780-54G10 / CA 10064;39;8;1;;3;65;;;;;
0338;FILTRO AIRE 17220-RBJ00;42;9;1;;3;70;;;;;
0339;FILTRO AIRE 13780-80J00;48;3;1;;3;80;;;;;
0340;FILTRO AIRE 49460;72;4;1;;3;120;;;;;
0341;FILTRO AIRE 13780-61J00;51;4;1;;3;85;;;;;
0342;FILTRO AIRE 13780-79J00;45;5;1;;3;75;;;;;
0343;FILTRO AIRE 42823;90;5;1;;3;150;;;;;
0344;FILTRO AIRE Y601-13Z40;36;6;1;;3;60;;;;;
0345;FILTRO AIRE PAB 5350;42;5;1;;3;70;;;;;
0346;FILTRO AIRE CA 6828;39;3;1;;3;65;;;;;
0347;FILTRO AIRE PAB 9778;69;4;1;;3;115;;;;;
0348;FILTRO AIRE MD 620039;42;7;1;;3;70;;;;;
0349;FILTRO AIRE CA 7344 ;39;7;1;;3;65;;;;;
0350;FILTRO PABS 139;48;6;1;;4;80;;;;;
0351;FILTRO AIRE 17801-16020;36;8;1;;3;60;;;;;
